T2M,WS10M,RH2M,PS,ALLSKY_SFC_LW_DWN,ALLSKY_SFC_SW_DWN,rain_label
3.75,3.72,82.56,93.35,315.24,6.66,0
7.08,5.55,96.38,92.14,329.21,3.18,1
5.7,2.7,89.06,91.56,328.41,4.85,0
1.67,5.63,83.0,91.75,312.7,6.15,0
1.91,9.96,76.56,92.17,303.52,4.62,0
3.4,10.0,71.69,92.64,316.58,7.73,0
3.51,4.48,80.06,92.83,313.09,10.51,0
3.57,5.3,84.69,93.59,313.26,5.75,0
4.16,4.75,77.5,94.34,298.99,12.41,0
4.19,3.28,74.12,94.27,272.11,19.83,0
3.4,2.16,69.75,93.92,275.87,18.52,0
8.36,5.26,62.75,92.86,278.77,19.78,0
0.37,9.66,70.25,93.49,287.11,4.92,0
-2.07,6.03,57.81,94.04,240.92,18.11,0
2.72,3.05,50.5,93.48,232.52,22.38,0
8.94,4.3,52.31,92.62,268.73,19.22,0
6.89,7.73,70.25,92.9,284.41,16.28,0
4.53,7.59,63.38,93.34,266.46,19.51,0
5.11,3.26,56.94,93.28,243.29,22.79,0
6.83,6.38,64.25,92.28,290.8,17.18,0
5.73,9.02,70.31,92.71,289.93,11.12,0
7.8,4.64,56.44,93.46,256.29,22.43,0
13.53,5.73,44.0,92.57,279.54,21.78,0
16.08,5.39,51.5,91.51,310.37,18.17,0
15.18,6.34,55.38,91.91,304.95,18.94,0
16.97,7.09,50.31,91.32,325.18,18.46,0
8.48,7.3,51.94,92.16,278.54,20.51,0
9.81,5.76,45.12,92.39,268.21,22.62,0
10.54,2.86,43.19,92.73,272.32,23.16,0
12.8,3.72,58.31,92.14,321.73,12.87,0
9.04,6.11,80.56,91.79,340.08,6.87,1
5.33,8.86,61.25,93.11,262.73,24.28,0
8.47,3.83,57.69,93.2,273.94,23.5,0
11.4,5.27,50.62,92.87,264.1,25.82,0
9.71,6.41,58.69,93.34,272.42,24.24,0
13.62,4.43,70.31,93.62,316.23,20.29,0
18.85,8.25,66.31,93.06,340.98,21.86,0
19.08,12.66,61.25,92.7,343.09,21.27,0
17.4,4.09,74.06,93.26,366.4,16.38,1
16.69,4.81,78.19,93.59,363.46,14.5,0
10.27,5.1,64.44,94.27,301.18,18.23,0
9.17,3.58,54.38,93.89,261.66,26.68,0
11.67,4.91,59.25,93.58,291.25,23.66,0
11.98,4.64,71.88,93.37,314.66,20.46,0
12.01,2.83,79.31,92.97,337.62,13.52,0
13.51,2.59,78.88,92.62,361.59,15.87,0
14.52,7.14,91.38,91.92,352.23,6.16,1
15.44,6.52,69.19,91.04,331.5,22.77,1
10.29,8.59,78.56,91.77,319.45,18.05,0
12.54,8.33,57.25,92.64,292.28,26.33,0
8.29,8.81,48.0,93.15,276.21,23.18,0
9.48,3.91,57.94,93.12,270.53,27.94,0
16.26,7.89,53.62,91.34,313.1,26.88,0
14.38,6.34,50.75,91.07,306.76,26.37,0
11.04,4.8,50.38,91.44,292.13,24.94,0
11.61,4.39,52.19,91.94,279.07,27.6,0
11.94,3.5,59.38,92.13,306.64,20.99,0
13.52,4.55,50.19,92.81,298.91,25.22,0
17.58,5.08,40.69,92.31,311.84,26.14,0
